footprint_bytes,elements,repetitions,accesses_per_run,min_ns_per_access,median_ns_per_access,max_ns_per_access
4096,1024,7,4194304,0.923236,0.929060,0.941901
8192,2048,7,4194304,0.929193,0.930046,0.930531
16384,4096,7,4194304,0.923855,0.925027,0.926021
32768,8192,7,4194304,0.925433,0.927249,0.927913
65536,16384,7,4194304,1.422366,1.429305,1.438055
131072,32768,7,4194304,2.111972,2.119221,2.127395
262144,65536,7,4194304,2.446007,2.451518,2.453981
524288,131072,7,4194304,2.927843,2.935470,2.948016
1048576,262144,7,4194304,4.251444,4.270078,4.293521
2097152,524288,7,4194304,7.813772,7.823702,7.850978
4194304,1048576,7,4194304,9.624786,9.796277,9.823085
8388608,2097152,7,4194304,10.611153,10.615161,10.636363
16777216,4194304,7,4194304,11.109485,11.116465,11.118922
33554432,8388608,7,4194304,14.449345,14.457192,14.537585
67108864,16777216,7,4194304,17.693154,17.869539,17.991322
134217728,33554432,7,4194304,46.557538,47.415123,48.214823
268435456,67108864,7,4194304,82.473838,83.238348,85.372978
536870912,134217728,7,4194304,101.764985,102.955047,103.397818
1073741824,268435456,7,4194304,112.370594,113.055205,114.330043
