footprint_bytes,elements,repetitions,passes_per_run,min_ns_per_element,median_ns_per_element,max_ns_per_element,median_gib_per_s
4096,512,7,16384,0.097836,0.098210,0.099115,75.864153
8192,1024,7,8192,0.094722,0.095214,0.095522,78.250788
16384,2048,7,4096,0.092582,0.093374,0.093989,79.793176
32768,4096,7,2048,0.093036,0.093109,0.093781,80.020383
65536,8192,7,1024,0.092411,0.092787,0.093300,80.297551
131072,16384,7,512,0.092010,0.092454,0.092616,80.586827
262144,32768,7,256,0.092275,0.092564,0.092670,80.491138
524288,65536,7,128,0.092490,0.092747,0.093044,80.332641
1048576,131072,7,64,0.092368,0.092735,0.093338,80.342968
2097152,262144,7,32,0.094176,0.094619,0.094840,78.742638
4194304,524288,7,16,0.092425,0.093706,0.094718,79.510470
8388608,1048576,7,8,0.092447,0.093827,0.095159,79.407228
16777216,2097152,7,4,0.094130,0.094732,0.096014,78.649296
33554432,4194304,7,2,0.094784,0.096002,0.096514,77.608323
67108864,8388608,7,1,0.105486,0.107092,0.116678,69.571916
134217728,16777216,7,1,0.141568,0.142372,0.162991,52.331954
268435456,33554432,7,1,0.157395,0.158451,0.169570,47.021277
536870912,67108864,7,1,0.172529,0.173916,0.177901,42.840023
1073741824,134217728,7,1,0.184056,0.186007,0.188321,40.055480
