footprint_bytes,cache_lines,repetitions,bytes_per_line,seq_min_ns_per_line,seq_median_ns_per_line,seq_max_ns_per_line,random_min_ns_per_line,random_median_ns_per_line,random_max_ns_per_line,median_random_to_seq_ratio
4096,64,7,64,0.625000,0.625000,0.937500,0.625000,0.781250,1.093750,1.250000
8192,128,7,64,0.468750,0.546875,0.554688,0.468750,0.546875,0.625000,1.000000
16384,256,7,64,0.429688,0.468750,0.472656,0.429688,0.468750,0.507812,1.000000
32768,512,7,64,0.390625,0.410156,0.412109,0.410156,0.429688,0.451172,1.047619
65536,1024,7,64,0.391602,0.411133,0.430664,0.508789,0.518555,0.606445,1.261283
131072,2048,7,64,0.410645,0.416016,0.440430,0.601562,0.621582,0.787598,1.494131
262144,4096,7,64,0.410889,0.413330,0.420898,0.596680,0.614014,0.621338,1.485529
524288,8192,7,64,0.402344,0.410889,0.418213,0.584595,0.602905,0.607788,1.467320
1048576,16384,7,64,0.437805,0.442139,0.456177,0.634766,0.651917,0.694641,1.474462
2097152,32768,7,64,0.496552,0.501434,0.512726,0.708740,0.711761,0.795868,1.419451
4194304,65536,7,64,0.510452,0.521454,0.532623,0.708115,0.734268,0.754745,1.408117
8388608,131072,7,64,0.518173,0.521614,0.536667,0.704063,0.716911,0.730598,1.374409
16777216,262144,7,64,0.511368,0.539955,0.578098,0.723331,0.743053,0.773361,1.376139
33554432,524288,7,64,0.522015,0.554672,0.595203,0.880888,0.884253,0.965181,1.594189
67108864,1048576,7,64,0.650648,0.705436,0.735179,2.275030,2.334604,2.436352,3.309450
134217728,2097152,7,64,1.635991,1.659829,1.802334,4.725070,4.744982,4.863021,2.858717
268435456,4194304,7,64,2.520695,2.529800,2.571053,5.758200,5.775370,5.793586,2.282935
536870912,8388608,7,64,2.848618,2.865898,2.872673,6.289583,6.306735,6.346368,2.200614
1073741824,16777216,7,64,3.022641,3.040066,3.064613,6.672004,6.683610,6.736469,2.198509
